event_label,event_year,player_name,position,club,source_url
2010 AFF Suzuki Cup,2010,Neil Etheridge,GK,Fulham,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Rob Gier,DF,Ascot United,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Anton del Rosario,DF,Kaya,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Roel Gener,MF,Philippine Army,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,James Younghusband,FW,Farnborough,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Yanti Barsales,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Phil Younghusband,FW,San Beda,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Aly Borromeo,DF,Kaya,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Emelio Caligdong,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Mark Ferrer,MF,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Rey Palmes,MF,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Jason de Jong,MF,Veendam,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Chris Greatwich,MF,Morris County Colonials,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Nestorio Margarse,MF,Philippine Army,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Peter Jaugan,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Eduard Sacapaño,GK,Philippine Army,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Ian Araneta,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Joebel Bermejo,DF,Philippine Air Force,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,David Basa,DF,University of Santo Tomas,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Ray Jónsson,DF,Grindavík,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Kristopher Relucio,DF,Laos,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2010 AFF Suzuki Cup,2010,Mark Drinkuth,DF,Agon Düsseldorf,https://en.wikipedia.org/wiki/2010_AFF_Championship_squads
2012 AFC Challenge Cup,2012,Neil Etheridge,GK,Fulham,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Rob Gier,DF,Ascot United,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Juan Luis Guirado,DF,Global FC,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Roel Gener,DF,Philippine Army,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,James Younghusband,MF,Loyola,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Misagh Bahadoran,MF,Global FC,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Phil Younghusband,FW,Loyola,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Ángel Guirado,FW,Global FC,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Emelio Caligdong,MF,Philippine Air Force,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Carli de Murga,DF,Global FC,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Jason de Jong,MF,Dordrecht,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Nestorio Margarse,MF,Philippine Army,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Paul Mulders,MF,ADO Den Haag,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Ian Araneta,FW,Philippine Air Force,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Marwin Angeles,MF,Laos FC,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Ray Jónsson,DF,Grindavik,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Lexton Moy,MF,Kaya,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Dennis Cagara,DF,FSV Frankfurt,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Roxy Dorlas,DF,Loyola,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Angelo Verheye,MF,Gent,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Eduard Sacapaño,GK,Philippine Army,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Jason Sabio,DF,Kaya,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFC Challenge Cup,2012,Paolo Pascual,GK,Global FC,https://en.wikipedia.org/wiki/2012_AFC_Challenge_Cup_squads
2012 AFF Suzuki Cup,2012,Rob Gier,DF,Ascot United,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Jason Sabio,DF,Kaya,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Juan Luis Guirado,DF,Racing Lermeño,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,James Younghusband,MF,Loyola,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Dennis Cagara,DF,Karlsruher SC,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Phil Younghusband,FW,Loyola,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Eduard Sacapaño,GK,Philippine Army,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Ángel Guirado,FW,Salgaocar,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Emelio Caligdong,MF,Philippine Air Force,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Carli de Murga,DF,Global,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Chris Greatwich,MF,Morris County Colonials,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Jerry Lucena,MF,Esbjerg,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Denis Wolf,FW,Global,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Jason de Jong,MF,Stallion,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Paul Mulders,MF,ADO Den Haag,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Marwin Angeles,MF,Global,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Ray Jónsson,DF,Grindavik,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Jeffrey Christiaens,MF,Global,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Patrick Reichelt,MF,Global,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Ref Cuaresma,GK,Loyola,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Demitrius Omphroy,MF,Global,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
2012 AFF Suzuki Cup,2012,Roland Müller,GK,MSV Duisburg,https://en.wikipedia.org/wiki/2012_AFF_Championship_squads
